"","date","season","team","elo","playoff","teamyear","GAME"
"1",2002-09-08,2002,"ARI",1428.844,0,"2002.ARI",1
"2",2002-09-15,2002,"ARI",1416.875,0,"2002.ARI",2
"3",2002-09-22,2002,"ARI",1452.488,0,"2002.ARI",3
"4",2002-09-29,2002,"ARI",1426.571,0,"2002.ARI",4
"5",2002-10-06,2002,"ARI",1455.503,0,"2002.ARI",5
"6",2002-10-20,2002,"ARI",1471.492,0,"2002.ARI",6
"7",2002-10-27,2002,"ARI",1480.67,0,"2002.ARI",7
"8",2002-11-03,2002,"ARI",1468.116,0,"2002.ARI",8
"9",2002-11-10,2002,"ARI",1444.996,0,"2002.ARI",9
"10",2002-11-17,2002,"ARI",1404.16,0,"2002.ARI",10
"11",2002-11-24,2002,"ARI",1394.207,0,"2002.ARI",11
"12",2002-12-01,2002,"ARI",1376.694,0,"2002.ARI",12
"13",2002-12-08,2002,"ARI",1357.45,0,"2002.ARI",13
"14",2002-12-15,2002,"ARI",1367.285,0,"2002.ARI",14
"15",2002-12-21,2002,"ARI",1363.286,0,"2002.ARI",15
"16",2002-12-29,2002,"ARI",1355.055,0,"2002.ARI",16
"17",2003-09-07,2003,"ARI",1396.817,0,"2003.ARI",1
"18",2003-09-14,2003,"ARI",1370.691,0,"2003.ARI",2
"19",2003-09-21,2003,"ARI",1344.752,0,"2003.ARI",3
"20",2003-09-28,2003,"ARI",1374.585,0,"2003.ARI",4
"21",2003-10-05,2003,"ARI",1360.869,0,"2003.ARI",5
"22",2003-10-12,2003,"ARI",1345.139,0,"2003.ARI",6
"23",2003-10-26,2003,"ARI",1329.299,0,"2003.ARI",7
"24",2003-11-02,2003,"ARI",1350.021,0,"2003.ARI",8
"25",2003-11-09,2003,"ARI",1363.049,0,"2003.ARI",9
"26",2003-11-16,2003,"ARI",1347.765,0,"2003.ARI",10
"27",2003-11-23,2003,"ARI",1328.478,0,"2003.ARI",11
"28",2003-11-30,2003,"ARI",1322.135,0,"2003.ARI",12
"29",2003-12-07,2003,"ARI",1305.726,0,"2003.ARI",13
"30",2003-12-14,2003,"ARI",1294.638,0,"2003.ARI",14
"31",2003-12-21,2003,"ARI",1285.741,0,"2003.ARI",15
"32",2003-12-28,2003,"ARI",1276.665,0,"2003.ARI",16
"33",2004-09-12,2004,"ARI",1360.307,0,"2004.ARI",1
"34",2004-09-19,2004,"ARI",1353.243,0,"2004.ARI",2
"35",2004-09-26,2004,"ARI",1344.966,0,"2004.ARI",3
"36",2004-10-03,2004,"ARI",1339.744,0,"2004.ARI",4
"37",2004-10-10,2004,"ARI",1383.499,0,"2004.ARI",5
"38",2004-10-24,2004,"ARI",1374.588,0,"2004.ARI",6
"39",2004-10-31,2004,"ARI",1404.665,0,"2004.ARI",7
"40",2004-11-07,2004,"ARI",1381.958,0,"2004.ARI",8
"41",2004-11-14,2004,"ARI",1392.285,0,"2004.ARI",9
"42",2004-11-21,2004,"ARI",1407.471,0,"2004.ARI",10
"43",2004-11-28,2004,"ARI",1386.971,0,"2004.ARI",11
"44",2004-12-05,2004,"ARI",1370.707,0,"2004.ARI",12
"45",2004-12-12,2004,"ARI",1350.21,0,"2004.ARI",13
"46",2004-12-19,2004,"ARI",1331.828,0,"2004.ARI",14
"47",2004-12-26,2004,"ARI",1372.919,0,"2004.ARI",15
"48",2005-01-02,2004,"ARI",1365.829,0,"2004.ARI",16
"49",2005-09-11,2005,"ARI",1424.952,0,"2005.ARI",1
"50",2005-09-18,2005,"ARI",1400.742,0,"2005.ARI",2
"51",2005-09-25,2005,"ARI",1383.74,0,"2005.ARI",3
"52",2005-10-02,2005,"ARI",1366.147,0,"2005.ARI",4
"53",2005-10-09,2005,"ARI",1394.375,0,"2005.ARI",5
"54",2005-10-23,2005,"ARI",1382.499,0,"2005.ARI",6
"55",2005-10-30,2005,"ARI",1406.717,0,"2005.ARI",7
"56",2005-11-06,2005,"ARI",1389.509,0,"2005.ARI",8
"57",2005-11-13,2005,"ARI",1369.128,0,"2005.ARI",9
"58",2005-11-20,2005,"ARI",1354.58,0,"2005.ARI",10
"59",2005-11-27,2005,"ARI",1392.961,0,"2005.ARI",11
"60",2005-12-04,2005,"ARI",1379.055,0,"2005.ARI",12
"61",2005-12-11,2005,"ARI",1398.079,0,"2005.ARI",13
"62",2005-12-18,2005,"ARI",1382.658,0,"2005.ARI",14
"63",2005-12-24,2005,"ARI",1357.768,0,"2005.ARI",15
"64",2006-01-01,2005,"ARI",1380.592,0,"2005.ARI",16
"65",2006-09-10,2006,"ARI",1420.436,0,"2006.ARI",1
"66",2006-09-17,2006,"ARI",1433.844,0,"2006.ARI",2
"67",2006-09-24,2006,"ARI",1425.127,0,"2006.ARI",3
"68",2006-10-01,2006,"ARI",1412.518,0,"2006.ARI",4
"69",2006-10-08,2006,"ARI",1396.497,0,"2006.ARI",5
"70",2006-10-16,2006,"ARI",1386.449,0,"2006.ARI",6
"71",2006-10-22,2006,"ARI",1383.069,0,"2006.ARI",7
"72",2006-10-29,2006,"ARI",1357.252,0,"2006.ARI",8
"73",2006-11-12,2006,"ARI",1340.115,0,"2006.ARI",9
"74",2006-11-19,2006,"ARI",1321.618,0,"2006.ARI",10
"75",2006-11-26,2006,"ARI",1340.694,0,"2006.ARI",11
"76",2006-12-03,2006,"ARI",1332.503,0,"2006.ARI",12
"77",2006-12-10,2006,"ARI",1374.633,0,"2006.ARI",13
"78",2006-12-17,2006,"ARI",1402.866,0,"2006.ARI",14
"79",2006-12-24,2006,"ARI",1384.679,0,"2006.ARI",15
"80",2006-12-31,2006,"ARI",1409.743,0,"2006.ARI",16
"81",2007-09-10,2007,"ARI",1439.21,0,"2007.ARI",1
"82",2007-09-16,2007,"ARI",1428.235,0,"2007.ARI",2
"83",2007-09-23,2007,"ARI",1443.647,0,"2007.ARI",3
"84",2007-09-30,2007,"ARI",1438.02,0,"2007.ARI",4
"85",2007-10-07,2007,"ARI",1467.21,0,"2007.ARI",5
"86",2007-10-14,2007,"ARI",1481.098,0,"2007.ARI",6
"87",2007-10-21,2007,"ARI",1448.94,0,"2007.ARI",7
"88",2007-11-04,2007,"ARI",1441.273,0,"2007.ARI",8
"89",2007-11-11,2007,"ARI",1426.793,0,"2007.ARI",9
"90",2007-11-18,2007,"ARI",1451.565,0,"2007.ARI",10
"91",2007-11-25,2007,"ARI",1482.037,0,"2007.ARI",11
"92",2007-12-02,2007,"ARI",1448.018,0,"2007.ARI",12
"93",2007-12-09,2007,"ARI",1466.972,0,"2007.ARI",13
"94",2007-12-16,2007,"ARI",1450.305,0,"2007.ARI",14
"95",2007-12-23,2007,"ARI",1437.539,0,"2007.ARI",15
"96",2007-12-30,2007,"ARI",1444.214,0,"2007.ARI",16
